"","date","state","new_cases_norm","new_deaths_norm"
"428",2020-03-09,"Indiana",0.0298869764212677,0
"429",2020-03-09,"Iowa",0.158421111831047,0
"430",2020-03-09,"Kansas",0,0
"431",2020-03-09,"Kentucky",0.0223793651511211,0
"432",2020-03-09,"Louisiana",0,0
"433",2020-03-09,"Maryland",0.0165488444107436,0
"434",2020-03-09,"Massachusetts",0.188347136522263,0
"435",2020-03-09,"Minnesota",0,0
"436",2020-03-09,"Missouri",0,0
"437",2020-03-09,"Nebraska",0,0
"438",2020-03-09,"Nevada",0,0
"439",2020-03-09,"New Hampshire",0,0
"440",2020-03-09,"New Jersey",0.0561260456282301,0
"441",2020-03-09,"New York",0.184216635898224,0
"442",2020-03-09,"North Carolina",0.0481527636797186,0
"443",2020-03-09,"Ohio",0,0
"444",2020-03-09,"Oklahoma",0,0
"445",2020-03-09,"Oregon",0,0
"446",2020-03-09,"Pennsylvania",0.0312327731735465,0
"447",2020-03-09,"Rhode Island",0,0
"448",2020-03-09,"South Carolina",0.0196690601946018,0
"449",2020-03-09,"Tennessee",0.014771026926105,0
"450",2020-03-09,"Texas",0.00348409657985401,0
"451",2020-03-09,"Utah",0,0
"452",2020-03-09,"Vermont",0,0
"453",2020-03-09,"Virginia",0.0352208375867386,0
"454",2020-03-09,"Washington",0.50427365285616,0.0398110778570652
"455",2020-03-09,"Wisconsin",0.01720114050442,0
"456",2020-03-10,"Arizona",0,0
"457",2020-03-10,"California",0.0176959628809483,0.00252799469727832
"458",2020-03-10,"Colorado",0.0877876185747364,0
"459",2020-03-10,"Connecticut",0,0
"460",2020-03-10,"District of Columbia",0,0
"461",2020-03-10,"Florida",0.0422548601892313,0
"462",2020-03-10,"Georgia",0.0475308891365776,0
"463",2020-03-10,"Hawaii",0,0
"464",2020-03-10,"Illinois",0.0627890257340822,0
"465",2020-03-10,"Indiana",0.0298869764212677,0
"466",2020-03-10,"Iowa",0.158421111831047,0
"467",2020-03-10,"Kansas",0,0
"468",2020-03-10,"Kentucky",0.0447587303022423,0
"469",2020-03-10,"Louisiana",0.107296643889735,0
"470",2020-03-10,"Maryland",0.0496465332322309,0
"471",2020-03-10,"Massachusetts",0.738900304818108,0
"472",2020-03-10,"Michigan",0,0
"473",2020-03-10,"Minnesota",0.0178215665549076,0
"474",2020-03-10,"Missouri",0,0
"475",2020-03-10,"Nebraska",0.051833130493016,0
"476",2020-03-10,"Nevada",0,0
"477",2020-03-10,"New Hampshire",0.0737214126791983,0
"478",2020-03-10,"New Jersey",0.044900836502584,0.011225209125646
"479",2020-03-10,"New York",0.158630992023471,0
"480",2020-03-10,"North Carolina",0,0
"481",2020-03-10,"Ohio",0,0
"482",2020-03-10,"Oklahoma",0.0253608918309778,0
"483",2020-03-10,"Oregon",0.0238622878732092,0
"484",2020-03-10,"Pennsylvania",0.0156163865867732,0
"485",2020-03-10,"Rhode Island",0.189158387046434,0
"486",2020-03-10,"South Carolina",0.0393381203892035,0
"487",2020-03-10,"South Dakota",0,0
"488",2020-03-10,"Tennessee",0.044313080778315,0
"489",2020-03-10,"Texas",0.0243886760589781,0
"490",2020-03-10,"Utah",0.0316345075535295,0
"491",2020-03-10,"Vermont",0,0
"492",2020-03-10,"Virginia",0.0352208375867386,0
"493",2020-03-10,"Washington",1.32703592856884,0.0265407185713768
